road,county,city,crash_severity_index,length_mi,vru_crashes,ped_ka_crashes,bike_ka_crashes,ksi,aadt,speed_limit,lanes
US 84;US 285,Rio Arriba,unincorporated,65.75,0.466,4,3,0,3,12200,50,4
South Riverside Drive,Rio Arriba,Espanola,41.38,0.508,2,1,0,1,21800,40,4
Riverside Drive,Rio Arriba,Espanola,38.08,0.504,9,2,1,3,19400,40,4
Taos Highway,Santa Fe,unincorporated,19.72,0.893,3,1,0,1,23600,50,5
Richards Avenue,Santa Fe,Santa Fe,99.09,0.616,26,5,0,5,5400,30,2
Cerrillos Road,Santa Fe,Santa Fe,288.06,0.461,42,12,0,12,32700,40,6
Zafarano Drive,Santa Fe,Santa Fe,169.19,0.284,21,3,0,3,24900,20,4
Cerrillos Road,Santa Fe,Santa Fe,207.01,0.461,19,3,0,3,32700,40,6
Vegas Verdes Drive,Santa Fe,Santa Fe,136.08,0.46,15,2,0,2,32700,40,6
I 25,Santa Fe,Santa Fe,36.42,0.461,2,1,0,1,3000,70,1
Calle la Resolana,Santa Fe,Santa Fe,58.85,0.272,8,2,0,2,4000,20,2
Avenida de Las America,Santa Fe,Santa Fe,83.96,0.461,23,4,0,4,32700,40,6
Lowdermilk Street,Rio Arriba,Espanola,51.57,0.504,3,1,0,1,19400,40,4
Camino Consuelo,Santa Fe,Santa Fe,82.42,0.291,5,1,0,1,1900,20,2
South Saint Francis Drive,Santa Fe,Santa Fe,50.0,0.077,6,1,0,1,11500,20,2
West San Mateo Road,Santa Fe,Santa Fe,30.6,0.523,4,1,0,1,3500,20,2
Turquoise Trail,Santa Fe,unincorporated,41.99,0.5,2,1,0,1,8600,50,4
I 25,Santa Fe,Santa Fe,29.4,0.476,2,1,0,1,31600,80,4
Saint Michaels Drive,Santa Fe,Santa Fe,25.28,0.633,12,1,0,1,23900,40,6
Siler Road,Santa Fe,Santa Fe,105.21,0.637,17,5,0,5,13900,30,2
Hospital Drive,Santa Fe,Santa Fe,64.3,0.342,3,1,0,1,5000,20,2
Calle del Cielo,Santa Fe,Santa Fe,81.94,0.317,7,1,0,1,1100,40,2
Henry Lynch Road,Santa Fe,Santa Fe,29.03,0.482,6,2,0,2,5100,30,2
Botulph Road,Santa Fe,Santa Fe,39.48,0.426,2,1,0,1,3600,30,2
Cerrillos Road,Santa Fe,Santa Fe,53.85,0.46,12,1,0,1,32700,40,6
1st Street,Santa Fe,Santa Fe,55.32,0.235,9,0,1,1,31700,40,4
South Saint Francis Drive,Santa Fe,Santa Fe,35.43,0.508,2,1,0,1,31900,40,6
Cerrillos Road,Santa Fe,Santa Fe,62.25,0.46,15,3,0,3,32700,40,6
Cerrillos Road,Santa Fe,Santa Fe,140.41,0.461,14,2,1,3,32700,40,6
5th Street,Santa Fe,Santa Fe,19.96,0.481,8,0,1,1,3700,20,2
West Cordova Road,Santa Fe,Santa Fe,68.56,0.443,16,1,0,1,11300,30,3
Turquoise Trail,Santa Fe,unincorporated,59.06,0.555,3,2,0,2,11800,50,4
Sawmill Road,Santa Fe,Santa Fe,125.34,0.327,3,2,0,2,9100,40,4
Airport Road,Santa Fe,Santa Fe,38.29,0.653,6,1,0,1,16900,40,4
Saint Michaels Drive,Santa Fe,Santa Fe,30.0,0.015,2,1,0,1,12000,40,3
Rancho Viejo Boulevard,Santa Fe,unincorporated,40.21,0.418,2,1,0,1,3900,30,2
Gonzales River Trail Connector,Santa Fe,Santa Fe,19.48,0.445,7,1,0,1,8400,30,2
Turquoise Trail,Santa Fe,Santa Fe,30.25,0.555,2,1,0,1,11800,50,4
Camino Carlos Rey,Santa Fe,Santa Fe,45.3,0.512,8,1,0,1,6700,20,2
Saint Michaels Drive,Santa Fe,Santa Fe,118.91,0.404,6,1,1,2,23900,40,6
South Saint Francis Drive,Santa Fe,Santa Fe,61.68,0.508,3,1,0,1,31900,40,6
South Saint Francis Drive,Santa Fe,Santa Fe,23.79,0.336,4,1,0,1,38100,40,6
Paseo de Peralta,Santa Fe,Santa Fe,108.37,0.48,12,4,1,5,10300,20,3
North Saint Francis Drive,Santa Fe,Santa Fe,25.7,0.405,9,1,0,1,27400,40,5
South Saint Francis Drive,Santa Fe,Santa Fe,70.86,0.508,19,2,0,2,31900,40,6
Paseo de Peralta,Santa Fe,Santa Fe,37.61,0.468,3,1,0,1,6100,40,2
Saint Michaels Drive,Santa Fe,Santa Fe,105.04,0.404,15,2,0,2,23900,40,6
South Saint Francis Drive,Santa Fe,Santa Fe,35.0,0.023,3,1,0,1,12300,40,3
Llano Street,Santa Fe,Santa Fe,50.03,0.52,7,1,0,1,5500,20,2
Alicia Street,Santa Fe,Santa Fe,27.53,0.617,9,1,1,2,1900,20,2
East Alameda Street,Santa Fe,Santa Fe,20.98,0.445,10,1,0,1,8400,30,2
Rio Vista Place,Santa Fe,Santa Fe,19.11,0.419,4,1,0,1,2000,20,2
Yucca Street,Santa Fe,Santa Fe,46.66,0.514,6,0,1,1,6000,30,2
Paseo de Peralta,Santa Fe,Santa Fe,25.01,0.48,11,1,0,1,10300,20,3
US 84;US 285,Rio Arriba,unincorporated,57.17,0.466,0,0,0,0,12200,50,4
US 84;US 285,Rio Arriba,unincorporated,28.59,0.466,1,1,0,1,12200,50,4
Road 1056,Rio Arriba,unincorporated,52.48,0.508,1,1,0,1,9000,60,4
Calle Hacienda,Rio Arriba,Espanola,18.51,0.504,7,0,0,0,19400,40,4
I 25,Santa Fe,unincorporated,28.0,0.476,0,0,0,0,31600,80,4
I 25,Santa Fe,Santa Fe,28.9,0.461,0,0,0,0,6300,60,1
New Mexico State Highway 68,Rio Arriba,unincorporated,31.49,0.508,1,1,0,1,9000,60,4
Camino Escondido,Rio Arriba,Espanola,48.92,0.504,3,3,0,3,19400,40,4
Saint Michaels Drive,Santa Fe,Santa Fe,77.8,0.514,2,2,0,2,21600,40,4
Veterans Memorial Highway,Santa Fe,Santa Fe,34.34,0.466,1,1,0,1,13700,50,4
Rufina Street,Santa Fe,Santa Fe,21.88,0.475,1,1,0,1,9400,30,2
Galisteo Street,Santa Fe,Santa Fe,34.88,0.482,1,1,0,1,7200,20,2
New Mexico State Highway 68,Rio Arriba,unincorporated,52.89,0.504,2,2,0,2,19400,40,4
Cerrillos Road,Santa Fe,Santa Fe,36.19,0.461,13,0,0,0,32700,40,6
West San Mateo Road,Santa Fe,Santa Fe,28.05,0.523,1,0,0,0,3500,20,2
US 84,Rio Arriba,unincorporated,21.0,0.952,1,1,0,1,3000,60,2
I 25,Santa Fe,Santa Fe,36.13,0.461,2,2,0,2,12800,40,5
US 84;US 285,Santa Fe,Santa Fe,52.49,0.508,2,2,0,2,31900,40,6
Turquoise Trail,Santa Fe,unincorporated,26.41,0.555,1,0,0,0,11800,50,4
Yucca Street,Santa Fe,Santa Fe,38.89,0.514,1,0,1,1,6000,30,2
,Santa Fe,Santa Fe,22.36,0.224,1,1,0,1,24200,40,1
,Santa Fe,Santa Fe,43.33,0.462,1,1,0,1,2500,80,1
Placita de Vida,Santa Fe,Santa Fe,22.15,0.47,3,0,0,0,7800,20,2
I 25,Santa Fe,Santa Fe,28.95,0.461,1,1,0,1,30100,80,4
I 25,Santa Fe,unincorporated,26.02,0.512,1,1,0,1,22600,80,4
East Marcy Street,Santa Fe,Santa Fe,19.56,0.256,5,0,0,0,9100,20,2
Wagon Road,Santa Fe,Santa Fe,20.0,0.114,4,0,0,0,5200,20,2
I 25,Santa Fe,Santa Fe,28.9,0.461,1,1,0,1,300,70,2
West Alameda Street,Santa Fe,Santa Fe,22.48,0.445,1,1,0,1,8400,30,2
Castillo Place,Santa Fe,Santa Fe,23.34,0.48,3,0,0,0,10300,20,3
Turquoise Trail,Santa Fe,unincorporated,20.87,0.958,3,2,1,3,4200,50,2
Cerrillos Road,Santa Fe,Santa Fe,28.71,0.522,15,0,0,0,30300,30,4
North Saint Francis Drive,Santa Fe,Santa Fe,30.45,0.438,1,1,0,1,34600,60,6
I 25,Santa Fe,Santa Fe,28.9,0.461,0,0,0,0,,70,2
NM 4,Los Alamos,Los Alamos City and County,29.48,0.543,1,1,0,1,6900,40,2
