place,scope,year,kind,hour,crashes,hour_unknown
Santa Fe County,county,2016,all,0,31,7
Santa Fe County,county,2016,all,1,29,7
Santa Fe County,county,2016,all,2,25,7
Santa Fe County,county,2016,all,3,19,7
Santa Fe County,county,2016,all,4,14,7
Santa Fe County,county,2016,all,5,21,7
Santa Fe County,county,2016,all,6,49,7
Santa Fe County,county,2016,all,7,168,7
Santa Fe County,county,2016,all,8,204,7
Santa Fe County,county,2016,all,9,166,7
Santa Fe County,county,2016,all,10,168,7
Santa Fe County,county,2016,all,11,148,7
Santa Fe County,county,2016,all,12,229,7
Santa Fe County,county,2016,all,13,238,7
Santa Fe County,county,2016,all,14,229,7
Santa Fe County,county,2016,all,15,254,7
Santa Fe County,county,2016,all,16,295,7
Santa Fe County,county,2016,all,17,302,7
Santa Fe County,county,2016,all,18,164,7
Santa Fe County,county,2016,all,19,117,7
Santa Fe County,county,2016,all,20,92,7
Santa Fe County,county,2016,all,21,87,7
Santa Fe County,county,2016,all,22,68,7
Santa Fe County,county,2016,all,23,48,7
Santa Fe County,county,2016,alcohol,0,13,3
Santa Fe County,county,2016,alcohol,1,9,3
Santa Fe County,county,2016,alcohol,2,10,3
Santa Fe County,county,2016,alcohol,3,6,3
Santa Fe County,county,2016,alcohol,4,2,3
Santa Fe County,county,2016,alcohol,5,2,3
Santa Fe County,county,2016,alcohol,6,3,3
Santa Fe County,county,2016,alcohol,7,2,3
Santa Fe County,county,2016,alcohol,8,0,3
Santa Fe County,county,2016,alcohol,9,1,3
Santa Fe County,county,2016,alcohol,10,2,3
Santa Fe County,county,2016,alcohol,11,1,3
Santa Fe County,county,2016,alcohol,12,2,3
Santa Fe County,county,2016,alcohol,13,7,3
Santa Fe County,county,2016,alcohol,14,9,3
Santa Fe County,county,2016,alcohol,15,9,3
Santa Fe County,county,2016,alcohol,16,14,3
Santa Fe County,county,2016,alcohol,17,9,3
Santa Fe County,county,2016,alcohol,18,12,3
Santa Fe County,county,2016,alcohol,19,8,3
Santa Fe County,county,2016,alcohol,20,4,3
Santa Fe County,county,2016,alcohol,21,14,3
Santa Fe County,county,2016,alcohol,22,23,3
Santa Fe County,county,2016,alcohol,23,14,3
Santa Fe County,county,2016,injury_or_fatal,0,11,0
Santa Fe County,county,2016,injury_or_fatal,1,7,0
Santa Fe County,county,2016,injury_or_fatal,2,9,0
Santa Fe County,county,2016,injury_or_fatal,3,3,0
Santa Fe County,county,2016,injury_or_fatal,4,6,0
Santa Fe County,county,2016,injury_or_fatal,5,10,0
Santa Fe County,county,2016,injury_or_fatal,6,12,0
Santa Fe County,county,2016,injury_or_fatal,7,62,0
Santa Fe County,county,2016,injury_or_fatal,8,73,0
Santa Fe County,county,2016,injury_or_fatal,9,56,0
Santa Fe County,county,2016,injury_or_fatal,10,48,0
Santa Fe County,county,2016,injury_or_fatal,11,50,0
Santa Fe County,county,2016,injury_or_fatal,12,85,0
Santa Fe County,county,2016,injury_or_fatal,13,87,0
Santa Fe County,county,2016,injury_or_fatal,14,84,0
Santa Fe County,county,2016,injury_or_fatal,15,83,0
Santa Fe County,county,2016,injury_or_fatal,16,112,0
Santa Fe County,county,2016,injury_or_fatal,17,108,0
Santa Fe County,county,2016,injury_or_fatal,18,54,0
Santa Fe County,county,2016,injury_or_fatal,19,35,0
Santa Fe County,county,2016,injury_or_fatal,20,31,0
Santa Fe County,county,2016,injury_or_fatal,21,31,0
Santa Fe County,county,2016,injury_or_fatal,22,25,0
Santa Fe County,county,2016,injury_or_fatal,23,16,0
Santa Fe County,county,2016,vru,0,0,0
Santa Fe County,county,2016,vru,1,0,0
Santa Fe County,county,2016,vru,2,0,0
Santa Fe County,county,2016,vru,3,0,0
Santa Fe County,county,2016,vru,4,0,0
Santa Fe County,county,2016,vru,5,0,0
Santa Fe County,county,2016,vru,6,2,0
Santa Fe County,county,2016,vru,7,5,0
Santa Fe County,county,2016,vru,8,4,0
Santa Fe County,county,2016,vru,9,1,0
Santa Fe County,county,2016,vru,10,5,0
Santa Fe County,county,2016,vru,11,3,0
Santa Fe County,county,2016,vru,12,4,0
Santa Fe County,county,2016,vru,13,4,0
Santa Fe County,county,2016,vru,14,4,0
Santa Fe County,county,2016,vru,15,3,0
Santa Fe County,county,2016,vru,16,7,0
Santa Fe County,county,2016,vru,17,6,0
Santa Fe County,county,2016,vru,18,2,0
Santa Fe County,county,2016,vru,19,6,0
Santa Fe County,county,2016,vru,20,3,0
Santa Fe County,county,2016,vru,21,4,0
Santa Fe County,county,2016,vru,22,3,0
Santa Fe County,county,2016,vru,23,2,0
Santa Fe County,county,2016,dwi_arrests,0,75,82
Santa Fe County,county,2016,dwi_arrests,1,71,82
Santa Fe County,county,2016,dwi_arrests,2,58,82
Santa Fe County,county,2016,dwi_arrests,3,47,82
Santa Fe County,county,2016,dwi_arrests,4,14,82
Santa Fe County,county,2016,dwi_arrests,5,12,82
Santa Fe County,county,2016,dwi_arrests,6,8,82
Santa Fe County,county,2016,dwi_arrests,7,7,82
Santa Fe County,county,2016,dwi_arrests,8,3,82
Santa Fe County,county,2016,dwi_arrests,9,4,82
