year,hour,day,severity_kabco,lighting,alcohol,pedestrian,pedalcycle,county,city,street,lat,lon
2013,16,Wednesday,B,Daylight,0,0,1,Santa Fe,Espanola,State Road 68,35.99902,-106.06334
2013,23,Wednesday,K,Dark-Not Lighted,0,1,0,Santa Fe,Santa Fe,State Road 14,35.59025,-106.05339
2013,9,Friday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Road,35.66156,-105.97932
2013,12,Saturday,A,Daylight,0,1,0,Santa Fe,Santa Fe,61 Calle Del Resplandor,35.67086,-105.9127
2013,9,Thursday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Old Pecos Trail,35.65127,-105.93627
2013,21,Sunday,B,Dark-Lighted,0,0,1,Santa Fe,Santa Fe,Paseo De Peralta,35.69067,-105.9541
2013,17,Monday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Airport Road,35.63647,-106.03928
2013,12,Saturday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Lincoln Ave,35.68785,-105.93884
2013,11,Tuesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Calle La Resolana,35.655,-105.99217
2013,13,Tuesday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Vegas Veroles Drive,35.64438,-106.0093
2013,10,Thursday,C,Daylight,0,0,1,Santa Fe,Santa Fe,Paseo De Peralta,35.68103,-105.93507
2013,9,Friday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Cerrillos Road,35.65807,-105.98622
2013,11,Monday,A,Daylight,0,0,1,Santa Fe,Santa Fe,St Francis Drive,35.66588,-105.95622
2013,15,Friday,C,Daylight,0,1,0,Santa Fe,Santa Fe,Aqua Fria,35.66674,-105.99028
2013,15,Tuesday,B,Daylight,0,1,0,Santa Fe,Santa Fe,Avenida De Las Campanas,35.64213,-105.98995
2013,13,Friday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Camino De Los Arroyos,35.63979,-106.01149
2013,14,Monday,B,Daylight,0,0,1,Santa Fe,Santa Fe,Old Las Vegas Highway,35.63214,-105.92453
